"";"DataWNazwie";"GazeControlType";"LiczbaSakadLeweOko";"LiczbaKasowa≈.Znak√≥w"
"1";3;"DwellTime";156;0
"2";3;"DwellTime";254;0
"3";3;"DwellTime";137;0
"4";3;"DwellTime";277;0
"5";3;"DwellTime";152;0
"6";3;"DwellTime";124;0
"7";3;"DwellTime";264;0
"8";3;"DwellTime";130;0
"9";3;"DwellTime";197;1
"10";3;"DwellTime";109;0
"11";3;"DwellTime";448;1
"12";3;"DwellTime";841;8
"13";3;"DwellTime";169;0
"14";3;"DwellTime";426;3
"15";3;"Fixation";194;1
"16";3;"Fixation";169;1
"17";3;"Fixation";90;0
"18";3;"Fixation";360;1
"19";3;"Fixation";189;0
"20";3;"Fixation";265;1
"21";3;"Fixation";149;0
"22";3;"Fixation";293;0
"23";3;"Fixation";98;1
"24";3;"Fixation";338;0
"25";3;"Fixation";159;0
"26";3;"Fixation";71;0
"27";3;"Fixation";158;0
"28";3;"Fixation";96;1
"29";3;"DwellTime";122;0
"30";3;"DwellTime";233;0
"31";3;"DwellTime";143;0
"32";3;"DwellTime";457;2
"33";3;"DwellTime";348;0
"34";3;"DwellTime";177;0
"35";3;"DwellTime";133;0
"36";3;"DwellTime";312;1
"37";3;"DwellTime";233;0
"38";3;"DwellTime";470;3
"39";3;"DwellTime";222;0
"40";3;"DwellTime";87;0
"41";3;"DwellTime";273;0
"42";3;"DwellTime";826;2
"43";3;"EnterAndLeavePositions";1459;6
"44";3;"EnterAndLeavePositions";342;0
"45";3;"EnterAndLeavePositions";262;0
"46";3;"EnterAndLeavePositions";2956;12
"47";3;"EnterAndLeavePositions";178;0
"48";3;"EnterAndLeavePositions";422;1
"49";3;"EnterAndLeavePositions";887;3
"50";3;"EnterAndLeavePositions";589;5
"51";3;"EnterAndLeavePositions";1539;10
"52";3;"EnterAndLeavePositions";1106;10
"53";3;"EnterAndLeavePositions";541;3
"54";3;"EnterAndLeavePositions";123;0
"55";3;"EnterAndLeavePositions";72;0
