"";"DataWNazwie";"GazeControlType";"LiczbaSakadLeweOko";"LiczbaKasowa≈.Znak√≥w"
"1";4;"EnterAndLeavePositions";403;2
"2";4;"EnterAndLeavePositions";801;9
"3";4;"EnterAndLeavePositions";210;1
"4";4;"EnterAndLeavePositions";1814;18
"5";4;"EnterAndLeavePositions";292;3
"6";4;"EnterAndLeavePositions";395;4
"7";4;"EnterAndLeavePositions";343;2
"8";4;"EnterAndLeavePositions";712;14
"9";4;"EnterAndLeavePositions";86;0
"10";4;"EnterAndLeavePositions";257;3
"11";4;"EnterAndLeavePositions";246;2
"12";4;"EnterAndLeavePositions";150;1
"13";4;"EnterAndLeavePositions";487;7
"14";4;"EnterAndLeavePositions";150;2
"15";4;"DwellTime";195;1
"16";4;"DwellTime";104;0
"17";4;"DwellTime";111;0
"18";4;"DwellTime";128;0
"19";4;"DwellTime";89;0
"20";4;"DwellTime";112;0
"21";4;"DwellTime";91;0
"22";4;"DwellTime";84;0
"23";4;"DwellTime";75;0
"24";4;"DwellTime";59;0
"25";4;"DwellTime";133;2
"26";4;"DwellTime";73;0
"27";4;"DwellTime";53;0
"28";4;"DwellTime";41;0
"29";4;"EnterAndLeavePositions";254;1
"30";4;"EnterAndLeavePositions";223;1
"31";4;"EnterAndLeavePositions";194;1
"32";4;"EnterAndLeavePositions";161;0
"33";4;"EnterAndLeavePositions";266;2
"34";4;"EnterAndLeavePositions";307;3
"35";4;"EnterAndLeavePositions";79;0
"36";4;"EnterAndLeavePositions";171;1
"37";4;"EnterAndLeavePositions";320;3
"38";4;"EnterAndLeavePositions";108;0
"39";4;"EnterAndLeavePositions";203;1
"40";4;"EnterAndLeavePositions";186;1
"41";4;"EnterAndLeavePositions";346;2
"42";4;"EnterAndLeavePositions";132;0
"43";4;"Fixation";156;2
"44";4;"Fixation";100;2
"45";4;"Fixation";76;1
"46";4;"Fixation";66;1
"47";4;"Fixation";56;0
"48";4;"Fixation";69;0
"49";4;"Fixation";110;1
"50";4;"Fixation";95;1
"51";4;"Fixation";96;1
"52";4;"Fixation";84;1
"53";4;"Fixation";85;1
"54";4;"Fixation";77;0
"55";4;"Fixation";76;0
"56";4;"Fixation";58;0
"57";4;"DwellTime";147;1
"58";4;"DwellTime";90;0
"59";4;"DwellTime";91;0
"60";4;"DwellTime";80;0
"61";4;"DwellTime";86;0
"62";4;"DwellTime";81;0
"63";4;"DwellTime";106;0
"64";4;"DwellTime";75;0
"65";4;"DwellTime";78;0
"66";4;"DwellTime";78;0
"67";4;"DwellTime";71;0
"68";4;"DwellTime";44;0
"69";4;"DwellTime";59;0
"70";4;"DwellTime";45;0
"71";4;"Fixation";134;1
"72";4;"Fixation";89;0
"73";4;"Fixation";51;0
"74";4;"Fixation";71;0
"75";4;"Fixation";69;0
"76";4;"Fixation";45;0
"77";4;"Fixation";105;1
"78";4;"Fixation";72;0
"79";4;"Fixation";135;3
"80";4;"Fixation";88;2
"81";4;"Fixation";72;0
"82";4;"Fixation";76;0
"83";4;"Fixation";59;0
"84";4;"Fixation";78;1
